Date,Open,High,Low,Close,Adj Close,Volume
2022-05-03,24341.349609,24412.339844,24198.339844,84248.8,24360.210938,344940000
2022-05-04,24399.179688,24586.480469,24323.869141,83986.2,24542.539063,361580000
2022-05-05,24591.660156,24794.990234,24575.910156,84835.75,24739.529297,304210000
2022-05-06,24758.640625,24868.650391,24717.500000,100491.6,24831.169922,274150000
2022-05-07,24879.369141,24994.189453,24862.519531,117971.94,24899.410156,282860000
2022-05-08,24809.550781,24809.550781,24629.390625,130583.96,24706.410156,301900000
2022-05-09,24722.320313,24801.189453,24672.789063,123686.59,24768.929688,280810000
2022-05-10,24752.400391,24839.490234,24639.400391,148270.21,24713.980469,314650000
2022-05-11,24707.720703,24774.970703,24664.869141,115910.29,24715.089844,269700000
2022-05-12,24883.060547,25086.490234,24883.060547,116123.16,25013.289063,308920000
2022-05-13,25047.550781,25064.990234,24812.060547,168091.84,24834.410156,288200000
2022-05-14,24757.710938,24889.460938,24667.119141,171206.51,24886.810547,399610000
2022-05-15,24877.359375,24877.359375,24605.900391,200502.14,24811.759766,347050000
2022-05-16,24781.289063,24824.220703,24687.810547,148800.43,24753.089844,257210000
2022-05-17,24606.589844,24635.179688,24247.839844,132758.24,24361.449219,395810000
2022-05-18,24467.830078,24714.480469,24459.089844,135660.86,24667.779297,324870000
2022-05-19,24620.789063,24620.789063,24352.150391,145518.28,24415.839844,429740000
2022-05-20,24542.089844,24673.599609,24542.089844,130086.61,24635.210938,315710000
2022-05-21,24727.550781,24859.369141,24722.140625,133914.58,24813.689453,340400000
2022-05-22,24820.119141,24838.779297,24710.820313,207256.26,24799.980469,306340000
2022-05-23,24854.140625,25146.460938,24854.140625,203026.5,25146.390625,316090000
2022-05-24,25192.140625,25326.089844,25164.480469,175621.36,25241.410156,357680000
2022-05-25,25209.289063,25325.630859,25165.699219,164971.04,25316.529297,317510000
2022-05-26,25336.669922,25402.830078,25290.199219,149997.07,25322.310547,276740000
2022-05-27,25346.820313,25364.369141,25247.039063,124519.9,25320.730469,265750000
2022-05-28,25328.650391,25362.070313,25191.419922,154977.64,25201.199219,329700000
2022-05-29,25254.650391,25332.500000,25138.599609,182022.6,25175.310547,341170000
2022-05-30,25116.710938,25130.820313,24894.380859,180282.27,25090.480469,659370000
2022-05-31,24944.279297,25003.099609,24825.769531,181318.83,24987.470703,337070000
2022-06-01,24763.589844,24763.589844,24567.750000,138894.57,24700.210938,376380000
2022-06-02,24771.169922,24804.759766,24628.390625,162035.2,24657.800781,359520000
2022-06-03,24639.210938,24639.210938,24406.630859,127277.28,24461.699219,349570000
2022-06-04,24526.970703,24663.179688,24526.970703,153297.13,24580.890625,473970000
2022-06-05,24463.730469,24463.730469,24084.390625,235961.88,24252.800781,439130000
2022-06-06,24281.890625,24384.210938,24241.220703,213133.6,24283.109375,301130000
2022-06-07,24303.109375,24569.019531,24115.820313,185743.4,24117.589844,313790000
2022-06-08,24064.189453,24308.160156,23997.210938,173151.75,24216.050781,305020000
2022-06-09,24323.929688,24509.519531,24269.710938,186730.51,24271.410156,329070000
2022-06-10,24161.529297,24319.419922,24077.560547,207411.19,24307.179688,244110000
2022-06-11,24359.390625,24444.880859,24150.849609,229138.75,24174.820313,160960000
2022-06-12,24285.820313,24372.800781,24177.439453,263292.41,24356.740234,237670000
2022-06-13,24352.470703,24520.289063,24281.470703,244920.55,24456.480469,219450000
2022-06-14,24519.199219,24796.519531,24518.429688,234355.47,24776.589844,240580000
2022-06-15,24806.970703,24945.380859,24806.970703,165258.23,24919.660156,235040000
2022-06-16,24789.480469,24815.160156,24663.820313,210449.88,24700.449219,237370000
2022-06-17,24802.900391,24939.970703,24802.900391,213697.47,24924.890625,233150000
2022-06-18,24926.070313,25043.210938,24890.060547,252957.76,25019.410156,255520000
2022-06-19,25025.580078,25072.410156,24979.640625,265090.41,25064.359375,231270000
2022-06-20,25033.919922,25155.390625,24989.609375,283083.5,25119.890625,250450000
2022-06-21,25133.789063,25215.320313,25101.119141,277894.92,25199.289063,252870000
2022-06-22,25139.150391,25154.169922,25052.619141,218574.48,25064.500000,285760000
2022-06-23,25041.140625,25124.099609,24986.349609,188945.67,25058.119141,274080000
2022-06-24,25036.900391,25081.449219,24983.330078,171981.95,25044.289063,228820000
2022-06-25,25092.429688,25286.619141,25092.429688,182023.15,25241.939453,274940000
2022-06-26,25183.699219,25432.869141,25113.550781,219341.82,25414.099609,273670000
2022-06-27,25468.550781,25587.240234,25463.160156,209624.8,25527.070313,297530000
2022-06-28,25520.519531,25580.220703,25370.070313,205435.92,25451.060547,329680000
2022-06-29,25439.320313,25500.160156,25287.380859,194735.6,25306.830078,296880000
2022-06-30,25345.210938,25490.980469,25345.210938,179430.66,25415.189453,348700000
2022-07-01,25461.630859,25488.800781,25278.320313,183787.21,25333.820313,315880000
2022-07-02,25256.449219,25360.480469,25120.070313,195770.73,25326.160156,307700000
2022-07-03,25360.369141,25467.900391,25325.169922,206386.58,25462.580078,239020000
2022-07-04,25437.429688,25540.019531,25381.380859,214195.44,25502.179688,238990000
2022-07-05,25551.650391,25692.720703,25551.650391,224695.76,25628.910156,239910000
2022-07-06,25615.720703,25634.109375,25557.480469,225487.51,25583.750000,217770000
2022-07-07,25589.789063,25613.310547,25492.689453,237699.01,25509.230469,214970000
2022-07-08,25401.189453,25401.189453,25222.880859,200864.14,25313.140625,234480000
2022-07-09,25327.189453,25381.390625,25153.929688,200446.15,25187.699219,219990000
2022-07-10,25215.689453,25339.509766,25201.869141,243588.15,25299.919922,219210000
2022-07-11,25235.369141,25235.369141,24965.769531,200368.56,25162.410156,295810000
2022-07-12,25294.970703,25607.339844,25294.970703,243212.73,25558.730469,342430000
2022-07-13,25550.800781,25728.160156,25521.660156,217292.59,25669.320313,284160000
2022-07-14,25727.699219,25790.169922,25716.410156,217248.92,25758.689453,248570000
2022-07-15,25786.990234,25888.820313,25784.900391,227175.33,25822.289063,241620000
2022-07-16,25825.060547,25836.160156,25722.429688,246502.03,25733.599609,200480000
2022-07-17,25714.859375,25762.560547,25608.019531,298641.76,25656.980469,213270000
2022-07-18,25688.580078,25826.050781,25688.580078,269901.89,25790.349609,200330000
2022-07-19,25882.710938,26067.570313,25882.710938,252318.7,26049.640625,220510000
2022-07-20,26092.699219,26122.240234,26037.849609,255146.43,26064.019531,211470000
2022-07-21,26082.529297,26167.939453,26035.300781,174356.17,26124.570313,214960000
2022-07-22,26099.009766,26104.369141,25934.800781,226060.99,25986.919922,240440000
2022-07-23,25964.849609,26028.830078,25879.769531,192937.76,25964.820313,273440000
2022-07-24,25916.070313,25971.769531,25805.949219,214187.02,25952.480469,254600000
2022-07-25,25919.839844,26011.220703,25871.039063,217030.44,25974.990234,289210000
2022-07-26,25973.019531,26073.679688,25880.839844,235605.64,25995.869141,262380000
2022-07-27,25951.019531,26002.990234,25818.390625,246301.95,25916.539063,281350000
2022-07-28,25991.910156,26039.960938,25854.130859,228662.19,25857.070313,252170000
2022-07-29,25841.140625,26019.919922,25754.320313,221909.71,25971.060547,265960000
2022-07-30,25989.070313,26145.720703,25929.429688,195364.33,25998.919922,282770000
2022-07-31,26083.939453,26191.640625,26067.080078,216834.64,26145.990234,260800000
2022-08-01,26169.560547,26211.109375,26068.289063,228758.01,26154.669922,228640000
2022-08-02,26151.660156,26184.470703,26030.349609,317684.92,26062.119141,230230000
2022-08-03,26076.210938,26317.339844,26076.210938,255152.71,26246.960938,243000000
2022-08-04,26287.839844,26464.410156,26280.759766,234451.68,26405.759766,251330000
2022-08-05,26519.390625,26697.490234,26519.390625,159917.68,26656.980469,260480000
2022-08-06,26726.250000,26769.160156,26680.369141,200633.15,26743.500000,657620000
2022-08-07,26705.250000,26709.939453,26548.679688,202991.86,26562.050781,254850000
2022-08-08,26601.580078,26634.849609,26475.580078,203416.15,26492.210938,234110000
2022-08-09,26536.859375,26606.089844,26349.339844,175056.07,26385.279297,262620000
2022-08-10,26418.269531,26557.009766,26379.949219,180894.99,26439.929688,226350000
2022-08-11,26407.660156,26515.759766,26383.570313,175871.84,26458.310547,264030000
2022-08-12,26598.359375,26737.980469,26596.050781,151559.96,26651.210938,238320000
2022-08-13,26648.910156,26824.779297,26627.660156,169290.08,26773.939453,258290000
2022-08-14,26833.470703,26951.810547,26789.080078,231571.55,26828.390625,280130000
2022-08-15,26784.080078,26793.820313,26471.609375,209252.69,26627.480469,289600000
2022-08-16,26632.769531,26676.160156,26301.810547,187096.94,26447.050781,267100000
2022-08-17,26399.449219,26529.349609,26223.089844,187952.49,26486.779297,273020000
2022-08-18,26469.189453,26539.939453,26324.160156,182904.12,26430.570313,282560000
